과목,분반,교수,중간_가중치,기말_가중치,과제_가중치,출석_가중치,a비율,b비율,c비율
경제학원론,1,홍길동,0.350000,0.350000,0.200000,0.100000,0.350000,0.700000,0.900000
학생,학번,중간고사 점수,기말 점수,과제 점수,출석 점수,이의신청,이의신청대상
학생01,2024000001,92,85,83,99,0,과제반영좀
학생02,2024000002,86,97,79,90,0,기말2번중복확인부탁드려요
학생03,2024000003,95,89,57,93,0,기말
학생04,2024000004,98,91,76,98,0,과제
학생05,2024000005,63,90,92,93,1,없음
학생06,2024000006,82,68,95,100,0,출석
학생07,2024000007,85,73,91,91,1,없음
학생08,2024000008,92,94,55,94,1,없음
학생09,2024000009,75,93,73,96,0,과제
학생10,2024000010,51,65,86,100,0,기말
학생11,202400011,92,85,83,99,0,기말마지막문제확인부탁드려요
학생12,202400012,86,97,79,90,0,기말2번중복확인부탁드려요
학생13,202400013,95,89,57,93,0,기말
학생14,202400014,98,91,76,98,0,과제
학생15,202400015,63,90,92,93,1,없음
학생16,202400016,82,68,95,100,0,출석
학생17,202400017,85,73,91,91,1,없음
학생18,202400018,92,94,55,94,1,없음
학생19,202400019,75,93,73,96,0,과제
학생20,202400020,51,65,86,100,0,기말
학생21,202400021,92,85,83,99,0,과제반영좀
학생22,202400022,86,97,79,90,0,기말2번중복확인부탁드려요
학생23,202400023,95,89,57,93,0,기말
학생24,202400024,98,91,76,98,0,과제
학생25,202400025,63,90,92,93,1,없음
학생26,202400026,82,68,95,100,0,출석
학생27,202400027,85,73,91,91,1,없음
학생28,202400028,92,94,55,94,1,없음
학생29,202400029,75,93,73,96,0,과제
학생30,202400030,51,65,86,100,0,기말
학생31,202400031,92,85,83,99,0,과제반영좀
학생32,202400032,86,97,79,90,0,기말2번중복확인부탁드려요
학생33,202400033,95,89,57,93,0,기말
학생34,202400034,98,91,76,98,0,과제
학생35,202400035,63,90,92,93,1,없음
학생36,202400036,82,68,95,100,0,출석
학생37,202400037,85,73,91,91,1,없음
학생38,202400038,92,94,55,94,1,없음
학생39,202400039,75,93,73,96,0,과제
학생40,202400040,51,65,86,100,0,기말
학생41,202400041,92,85,83,99,0,과제반영좀
학생42,202400042,86,97,79,90,0,기말2번중복확인부탁드려요
학생43,202400043,95,89,57,93,0,기말
학생44,202400044,98,91,76,98,0,과제
학생45,202400045,63,90,92,93,1,없음
학생46,202400046,82,68,95,100,0,출석
학생47,202400047,85,73,91,91,1,없음
학생48,202400048,92,94,55,94,1,없음
학생49,202400049,75,93,73,96,0,과제
학생50,202400050,51,65,86,100,0,기말
